ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Player_Favorite;Player_Not_Favorite;Favorite_Wins;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Canas G.;Ljubicic I.;1;Canas G.;Ljubicic I.;70,0;74,0;6,0;4,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Fromberg R.;Tarango J.;1;Fromberg R.;Tarango J.;63,0;75,0;7,0;6,0;4,0;6,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Dosedel S.;Gambill J.M.;0;Gambill J.M.;Dosedel S.;86,0;50,0;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Gaudio G.;Gumy H.;1;Gaudio G.;Gumy H.;57,0;71,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Medvedev A.;Ilie A.;1;Medvedev A.;Ilie A.;35,0;77,0;7,0;5,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Blanco G.;Fish M.;0;Fish M.;Blanco G.;5000,0;76,0;6,0;4,0;0,0;6,0;4,0;1,0;;;;;1,0;1,0;Retired;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Mirnyi M.;Tillstrom M.;1;Mirnyi M.;Tillstrom M.;58,0;68,0;6,0;1,0;3,0;6,0;6,0;4,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;di Pasquale A.;Massu N.;0;Massu N.;di Pasquale A.;97,0;52,0;6,0;4,0;4,0;6,0;6,0;0,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Berasategui A.;Black W.;0;Black W.;Berasategui A.;152,0;65,0;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Novak J.;Martin A.;1;Novak J.;Martin A.;42,0;64,0;6,0;2,0;6,0;4,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Black B.;Schuettler R.;1;Black B.;Schuettler R.;54,0;59,0;6,0;3,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Sargsian S.;Pavel A.;0;Pavel A.;Sargsian S.;67,0;56,0;6,0;1,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Johansson T.;Saulnier C.;0;Saulnier C.;Johansson T.;140,0;55,0;4,0;6,0;6,0;3,0;7,0;5,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Schalken S.;Hipfl M.;1;Schalken S.;Hipfl M.;49,0;84,0;6,0;3,0;6,0;1,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20,0;Miami;Ericsson Open;2000-03-23;Masters;Outdoor;Hard;1st Round;3,0;Bjorkman J.;Pozzi G.;0;Pozzi G.;Bjorkman J.;83,0;66,0;0,0;6,0;7,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
