ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Hewitt L.,Johansson T.,9,221,6,2,6,3,,,,,,,2,0,Completed,1.167,4.5,1.2,4.55,1.17,4.67,1.2,3.3,1.172,5.8
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Youzhny M.,Philippoussis M.,51,13,7,6,7,5,,,,,,,2,0,Completed,1.833,1.833,1.8,2,1.75,2,1.75,1.75,1.758,2.16
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Haas T.,Srichaphan P.,882,11,6,1,6,2,,,,,,,2,0,Completed,2.625,1.444,2.65,1.48,2.53,1.48,2.3,1.4,2.66,1.538
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Hrbaty D.,Malisse X.,33,56,6,4,6,3,,,,,,,2,0,Completed,,,1.85,1.95,1.8,1.95,1.6,1.9,1.877,1.98
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Lapentti N.,Verkerk M.,62,18,7,5,6,4,,,,,,,2,0,Completed,2.375,1.533,2.35,1.6,2.35,1.55,2.3,1.4,2.42,1.625
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Novak J.,Dupuis A.,17,65,6,2,6,0,,,,,,,2,0,Completed,1.444,2.625,1.53,2.5,1.48,2.54,1.4,2.3,1.602,2.48
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Gonzalez F.,Hanescu V.,27,63,3,6,6,3,6,4,,,,,2,1,Completed,1.533,2.375,1.53,2.5,1.6,2.25,1.45,2.2,1.667,2.34
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Arazi H.,Nieminen J.,44,31,6,3,6,3,,,,,,,2,0,Completed,2.2,1.61,2.15,1.7,2.35,1.55,2.1,1.5,,
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Roddick A.,Gambill J.M.,3,82,7,6,6,2,,,,,,,2,0,Completed,1.167,4.5,1.16,5.25,1.17,4.67,1.15,3.8,1.169,5.4
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Coria G.,Sargsian S.,4,45,6,3,6,4,,,,,,,2,0,Completed,1.333,3.25,1.35,3.2,1.37,2.92,1.25,3,1.345,3.5
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Mirnyi M.,Bogomolov A.,29,115,7,6,6,4,,,,,,,2,0,Completed,1.364,3,1.35,3.2,1.37,2.92,1.35,2.5,1.351,3.45
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Nadal R.,Massu N.,36,12,6,3,1,0,,,,,,,1,0,Retired,1.533,2.375,1.67,2.2,1.55,2.35,1.5,2.1,1.621,2.43
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Calleri A.,Soderling R.,23,47,6,4,3,6,6,3,,,,,2,1,Completed,2.25,1.571,2.15,1.7,2.25,1.6,2,1.55,2.35,1.645
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Grosjean S.,Sanguinetti D.,14,112,6,2,6,2,,,,,,,2,0,Completed,1.286,3.5,1.33,3.3,1.28,3.46,1.35,2.5,1.345,3.5
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Sluiter R.,Clement A.,81,26,6,2,6,4,,,,,,,2,0,Completed,2.375,1.533,2.45,1.55,2.53,1.48,2.3,1.4,2.48,1.602
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Fish M.,Weiner G.,19,166,6,4,6,4,,,,,,,2,0,Completed,1.167,4.5,1.2,4.55,1.15,5.2,1.2,3.3,1.215,4.95
18,Indian Wells,Pacific Life Open,14/03/04,Masters,Outdoor,Hard,2nd Round,3,Federer R.,Pavel A.,1,49,6,1,6,1,,,,,,,2,0,Completed,1.083,7,1.11,6.5,1.1,6.25,1.05,5,1.095,8.75
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,2nd Round,3,Spadea V.,Saretta F.,22,46,6,3,6,2,,,,,,,2,0,Completed,1.615,2.2,1.8,2,1.7,2.1,1.5,2.1,1.758,2.16
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,2nd Round,3,Safin M.,Hernych J.,32,171,6,4,7,6,,,,,,,2,0,Completed,1.1,6.5,1.15,5.5,1.15,5.2,1.1,4.5,1.14,6.65
18,Indian Wells,Pacific Life Open,15/03/04,Masters,Outdoor,Hard,2nd Round,3,Escude N.,Schalken S.,77,15,6,3,6,2,,,,,,,2,0,Completed,1.727,2,1.8,2,1.75,2.05,1.8,1.7,1.781,2.12
