ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;B365W;B365L;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;2nd Round;3;Gasquet R.;Fish M.;14;25;6,0;7,0;6,0;4,0;6,0;3,0;;;;;2,0;1,0;Completed;1,5;2,5;;;;;;;;;;;1,5;2,55;1,588;2,6;1415,0;1145,0;1,6;2,28;1,533;2,375;;;;;;
60;Madrid;Madrid Masters;14/10/2008;Masters;Indoor;Hard;2nd Round;3;Nadal R.;Gulbis E.;1;54;7,0;5,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;1,08;7,0;;;;;;;;;;;1,12;6,35;1,137;7,59;7000,0;719,0;1,1;6,75;1,083;7,0;;;;;;
60;Madrid;Madrid Masters;15/10/2008;Masters;Indoor;Hard;2nd Round;3;Tsonga J.W.;Granollers M.;15;58;3,0;6,0;6,0;3,0;7,0;6,0;;;;;2,0;1,0;Completed;1,12;5,5;;;;;;;;;;;1,15;5,6;1,189;5,8;1410,0;696,0;1,14;5,4;1,167;4,5;;;;;;
60;Madrid;Madrid Masters;15/10/2008;Masters;Indoor;Hard;2nd Round;3;Ginepri R.;Davydenko N.;63;6;4,0;6,0;6,0;4,0;6,0;4,0;;;;;2,0;1,0;Completed;3,0;1,36;;;;;;;;;;;2,8;1,44;2,9;1,476;660,0;2260,0;2,67;1,45;2,625;1,444;;;;;;
60;Madrid;Madrid Masters;15/10/2008;Masters;Indoor;Hard;2nd Round;3;Karlovic I.;Soderling R.;21;28;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;3,0;1,36;;;;;;;;;;;2,9;1,4;3,13;1,429;1215,0;1080,0;2,7;1,44;2,625;1,444;;;;;;
60;Madrid;Madrid Masters;15/10/2008;Masters;Indoor;Hard;2nd Round;3;Nalbandian D.;Berdych T.;7;22;6,0;2,0;6,0;7,0;6,0;1,0;;;;;2,0;1,0;Completed;1,66;2,1;;;;;;;;;;;1,7;2,15;1,735;2,26;2175,0;1205,0;1,67;2,15;1,667;2,1;;;;;;
60;Madrid;Madrid Masters;15/10/2008;Masters;Indoor;Hard;2nd Round;3;Monfils G.;Gonzalez F.;18;10;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,61;2,2;;;;;;;;;;;1,75;2,05;1,794;2,16;1283,0;1645,0;1,7;2,1;1,72;2,0;;;;;;
60;Madrid;Madrid Masters;15/10/2008;Masters;Indoor;Hard;2nd Round;3;Djokovic N.;Hanescu V.;3;73;6,0;7,0;7,0;6,0;3,0;1,0;;;;;1,0;1,0;Retired;1,05;9,0;;;;;;;;;;;1,08;7,94;1,071;12,0;4725,0;579,0;1,04;10,0;1,071;7,5;;;;;;
60;Madrid;Madrid Masters;15/10/2008;Masters;Indoor;Hard;2nd Round;3;Del Potro J.M.;Nieminen J.;9;33;6,0;2,0;4,0;2,0;;;;;;;1,0;0,0;Retired;1,16;4,5;;;;;;;;;;;1,22;4,33;1,227;5,0;1685,0;1030,0;1,2;4,35;1,2;4,333;;;;;;
60;Madrid;Madrid Masters;15/10/2008;Masters;Indoor;Hard;2nd Round;3;Lopez F.;Ferrer D.;40;5;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;2,0;1,72;;;;;;;;;;;1,6;2,2;2,11;1,826;865,0;2315,0;1,96;1,8;1,833;1,833;;;;;;
60;Madrid;Madrid Masters;15/10/2008;Masters;Indoor;Hard;2nd Round;3;Wawrinka S.;Kohlschreiber P.;12;31;3,0;6,0;7,0;5,0;7,0;6,0;;;;;2,0;1,0;Completed;2,25;1,57;;;;;;;;;;;2,05;1,75;2,24;1,746;1520,0;1065,0;2,15;1,67;2,1;1,667;;;;;;
60;Madrid;Madrid Masters;15/10/2008;Masters;Indoor;Hard;2nd Round;3;Federer R.;Stepanek R.;2;30;6,0;3,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,07;7,5;;;;;;;;;;;1,09;7,33;1,125;8,21;5930,0;1065,0;1,1;6,75;1,071;7,5;;;;;;
60;Madrid;Madrid Masters;15/10/2008;Masters;Indoor;Hard;2nd Round;3;Roddick A.;Robredo T.;8;19;6,0;3,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,25;3,75;;;;;;;;;;;1,25;3,95;1,277;4,31;1970,0;1255,0;1,25;3,8;1,25;3,75;;;;;;
60;Madrid;Madrid Masters;16/10/2008;Masters;Indoor;Hard;3rd Round;3;Simon G.;Ginepri R.;16;63;6,0;7,0;6,0;4,0;7,0;6,0;;;;;2,0;1,0;Completed;1,5;2,5;;;;;;;;;;;1,5;2,55;1,592;2,59;1390,0;660,0;1,6;2,28;1,571;2,25;;;;;;
60;Madrid;Madrid Masters;16/10/2008;Masters;Indoor;Hard;3rd Round;3;Murray A.;Cilic M.;4;24;7,0;5,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,28;3,5;;;;;;;;;;;1,32;3,4;1,391;3,36;2995,0;1170,0;1,3;3,4;1,286;3,5;;;;;;
60;Madrid;Madrid Masters;16/10/2008;Masters;Indoor;Hard;3rd Round;3;Del Potro J.M.;Nalbandian D.;9;7;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;2,25;1,57;;;;;;;;;;;2,4;1,6;2,44;1,649;1685,0;2175,0;2,18;1,65;2,25;1,571;;;;;;
60;Madrid;Madrid Masters;16/10/2008;Masters;Indoor;Hard;3rd Round;3;Lopez F.;Wawrinka S.;40;12;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;2,25;1,57;;;;;;;;;;;2,2;1,65;2,24;1,746;865,0;1520,0;2,15;1,67;2,2;1,615;;;;;;
60;Madrid;Madrid Masters;16/10/2008;Masters;Indoor;Hard;3rd Round;3;Monfils G.;Roddick A.;18;8;6,0;4,0;3,0;6,0;6,0;3,0;;;;;2,0;1,0;Completed;2,5;1,5;;;;;;;;;;;2,57;1,51;2,63;1,578;1283,0;1970,0;2,58;1,48;2,625;1,444;;;;;;
60;Madrid;Madrid Masters;16/10/2008;Masters;Indoor;Hard;3rd Round;3;Nadal R.;Gasquet R.;1;14;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,2;4,33;;;;;;;;;;;1,24;4,14;1,25;4,6;7000,0;1415,0;1,21;4,2;1,2;4,333;;;;;;
60;Madrid;Madrid Masters;16/10/2008;Masters;Indoor;Hard;3rd Round;3;Federer R.;Tsonga J.W.;2;15;6,0;4,0;6,0;1,0;;;;;;;2,0;0,0;Completed;1,14;5,0;;;;;;;;;;;1,18;5,01;1,183;5,95;5930,0;1410,0;1,15;5,2;1,143;5,0;;;;;;
60;Madrid;Madrid Masters;16/10/2008;Masters;Indoor;Hard;3rd Round;3;Karlovic I.;Djokovic N.;21;3;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;4,0;1,22;;;;;;;;;;;3,95;1,25;4,1;1,294;1215,0;4725,0;3,7;1,26;4,333;1,2;;;;;;
60;Madrid;Madrid Masters;17/10/2008;Masters;Indoor;Hard;Quarterfinals;3;Murray A.;Monfils G.;4;18;6,0;2,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,33;3,4;;;;;;;;;;;1,32;3,4;1,38;3,43;2995,0;1283,0;1,35;3,1;1,364;3,0;;;;;;
60;Madrid;Madrid Masters;17/10/2008;Masters;Indoor;Hard;Quarterfinals;3;Federer R.;Del Potro J.M.;2;9;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,25;4,0;;;;;;;;;;;1,3;3,55;1,328;3,75;5930,0;1685,0;1,3;3,4;1,286;3,5;;;;;;
60;Madrid;Madrid Masters;17/10/2008;Masters;Indoor;Hard;Quarterfinals;3;Nadal R.;Lopez F.;1;40;6,0;4,0;6,0;4,0;;;;;;;2,0;0,0;Completed;1,07;8,0;;;;;;;;;;;1,08;7,94;1,131;7,92;7000,0;865,0;1,09;7,0;1,083;7,0;;;;;;
60;Madrid;Madrid Masters;17/10/2008;Masters;Indoor;Hard;Quarterfinals;3;Simon G.;Karlovic I.;16;21;7,0;6,0;4,0;6,0;7,0;6,0;;;;;2,0;1,0;Completed;2,5;1,53;;;;;;;;;;;2,32;1,61;2,29;1,719;1390,0;1215,0;2,28;1,6;2,2;1,615;;;;;;
60;Madrid;Madrid Masters;18/10/2008;Masters;Indoor;Hard;Semifinals;3;Murray A.;Federer R.;4;2;3,0;6,0;6,0;3,0;7,0;5,0;;;;;2,0;1,0;Completed;3,4;1,33;;;;;;;;;;;3,4;1,32;3,41;1,383;2995,0;5930,0;3,2;1,34;3,0;1,364;;;;;;
60;Madrid;Madrid Masters;18/10/2008;Masters;Indoor;Hard;Semifinals;3;Simon G.;Nadal R.;16;1;3,0;6,0;7,0;5,0;7,0;6,0;;;;;2,0;1,0;Completed;8,0;1,07;;;;;;;;;;;6,75;1,1;8,09;1,128;1390,0;7000,0;7,6;1,08;7,0;1,083;;;;;;
60;Madrid;Madrid Masters;19/10/2008;Masters;Indoor;Hard;The Final;3;Murray A.;Simon G.;4;16;6,0;4,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,22;4,33;;;;;;;;;;;1,35;3,95;1,275;4,33;2995,0;1390,0;1,28;3,5;1,2;4,333;;;;;;
