ATP;Location;Tournament;Date;Series;Court;Surface;Round;Best of;Winner;Loser;WRank;LRank;W1;L1;W2;L2;W3;L3;W4;L4;W5;L5;Wsets;Lsets;Comment;CBW;CBL;GBW;GBL;IWW;IWL;SBW;SBL;B365W;B365L;B&WW;B&WL;EXW;EXL;PSW;PSL;WPts;LPts;UBW;UBL;LBW;LBL;SJW;SJL;MaxW;MaxL;AvgW;AvgL
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;3rd Round;3,0;Costa A.;Clavet F.;21,0;63,0;6,0;3,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;3rd Round;3,0;Mantilla F.;Pavel A.;55,0;83,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;Quarterfinals;3,0;Corretja A.;Hrbaty D.;11,0;17,0;6,0;1,0;7,0;6,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;Quarterfinals;3,0;Kuerten G.;Costa A.;6,0;21,0;6,0;4,0;7,0;5,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;Quarterfinals;3,0;Hewitt L.;Puerta M.;12,0;38,0;6,0;3,0;3,0;6,0;6,0;1,0;;;;;2,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;Quarterfinals;3,0;Norman M.;Mantilla F.;4,0;55,0;6,0;4,0;6,0;3,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;Semifinals;3,0;Kuerten G.;Corretja A.;6,0;11,0;6,0;4,0;6,0;2,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;Semifinals;3,0;Norman M.;Hewitt L.;4,0;12,0;6,0;3,0;6,0;0,0;;;;;;;2,0;0,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29,0;Rome;Rome TMS;08/05/2000;Masters;Outdoor;Clay;The Final;5,0;Norman M.;Kuerten G.;4,0;6,0;6,0;3,0;4,0;6,0;6,0;4,0;6,0;4,0;;;3,0;1,0;Completed;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Arazi H.;Voltchkov V.;28,0;26,0;6,0;2,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,4;2,75;1,3;2,65;1,25;3,0;1,364;2,875;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Boutter J.;Martin T.;82,0;31,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;1,85;1,85;2,0;1,6;1,85;1,65;2,0;1,727;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Bruguera S.;Volandri F.;73,0;156,0;7,0;6,0;7,0;6,0;;;;;;;2,0;0,0;Completed;1,25;3,5;1,2;3,4;1,2;3,2;;;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Calatrava A.;Agassi A.;49,0;3,0;6,0;3,0;6,0;3,0;;;;;;;2,0;0,0;Completed;3,65;1,25;3,4;1,2;3,2;1,2;4,0;1,2;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Chang M.;Vicente F.;32,0;43,0;6,0;4,0;7,0;5,0;;;;;;;2,0;0,0;Completed;2,3;1,55;2,05;1,55;1,9;1,6;2,2;1,615;;;;;;;;;;;;;;;;;;;;
30,0;Rome;Rome TMS;07/05/2001;Masters;Outdoor;Clay;1st Round;3,0;Clavet F.;Schuettler R.;33,0;51,0;6,0;1,0;6,0;2,0;;;;;;;2,0;0,0;Completed;1,55;2,3;1,5;2,15;1,5;2,1;1,615;2,2;;;;;;;;;;;;;;;;;;;;
