ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Pozzi G.,O'Brien A.,43,249,1,6,7,6,6,4,6,2,,,3,1,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Prinosil D.,Bruguera S.,39,83,7,5,6,1,1,6,2,6,6,1,3,2,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Rafter P.,Draper S.,15,253,6,3,6,2,7,5,,,,,3,0,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Rochus C.,Gimelstob J.,73,98,4,6,3,6,6,4,6,0,9,7,3,2,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Rosset M.,Vinck C.,30,104,6,3,6,1,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Rusedski G.,Ondruska M.,65,202,3,6,6,3,7,6,6,2,,,3,1,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Sa A.,Fromberg R.,103,86,6,2,6,4,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Safin M.,Blanco G.,2,117,6,4,1,6,6,4,7,6,,,3,1,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Sampras P.,Kucera K.,3,75,7,6,3,6,6,4,7,6,,,3,1,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Santoro F.,Chang M.,47,33,7,5,4,6,6,3,6,4,,,3,1,Completed
6,Melbourne,Australian Open,15/01/01,Grand Slam,Outdoor,Hard,1st Round,5,Sargsian S.,Petrovic D.,95,269,6,1,1,6,6,0,6,3,,,3,1,Completed
