ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Arazi H.,Jonsson F.,41,123,6,3,6,4,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Squillari F.,Woodforde M.,48,126,6,4,7,6,3,6,6,4,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Woodruff C.,Sekulov J.,56,133,6,3,6,2,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Vinciguerra A.,Paes L.,99,137,7,6,6,4,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Bjorkman J.,Vanek J.,76,153,6,4,3,6,6,4,7,6,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Philippoussis M.,Sluiter R.,19,166,6,1,2,6,7,6,6,1,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Rochus C.,Ullyett K.,120,182,6,4,6,4,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Zabaleta M.,Woodbridge T.,33,204,7,6,4,6,6,1,6,4,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Grosjean S.,Hill M.,26,238,4,6,6,1,7,6,6,0,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Alami K.,Llodra M.,35,263,7,6,6,3,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,2nd Round,5,Koubek S.,Stafford G.,43,472,5,7,7,5,2,6,6,2,6,3,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Henman T.,Grosjean S.,13,26,6,1,6,4,4,6,7,6,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Agassi A.,Zabaleta M.,1,33,6,4,6,4,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Kiefer N.,Alami K.,4,35,6,3,6,4,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Ferreira W.,Clavet F.,53,39,6,3,6,4,3,6,6,3,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,El Aynaoui Y.,Ferrero J.C.,29,40,7,6,4,6,4,6,7,6,6,4,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Kafelnikov Y.,Koubek S.,2,43,6,3,6,3,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Philippoussis M.,Ilie A.,19,46,6,4,7,6,6,1,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Dosedel S.,Squillari F.,64,48,7,5,6,2,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Arazi H.,Vicente F.,41,55,6,3,6,3,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Clement A.,Federer R.,54,62,6,1,6,4,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Rochus C.,Mirnyi M.,120,67,3,6,6,4,6,3,7,6,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Norman M.,Bjorkman J.,11,76,6,4,6,4,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Woodruff C.,Fromberg R.,56,80,6,1,6,4,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Hewitt L.,Voinea A.,17,95,6,2,7,5,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Escude N.,Vinciguerra A.,34,99,6,4,6,4,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,3rd Round,5,Sampras P.,Black W.,3,151,6,7,3,6,6,3,7,5,6,3,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,4th Round,5,Woodruff C.,Henman T.,56,13,7,5,1,6,6,4,3,6,7,5,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,4th Round,5,Norman M.,Hewitt L.,11,17,6,3,6,1,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,4th Round,5,Agassi A.,Philippoussis M.,1,19,6,4,7,6,5,7,6,3,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,4th Round,5,Arazi H.,Escude N.,41,34,6,4,6,3,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,4th Round,5,Kiefer N.,Ferreira W.,4,53,6,3,6,4,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,4th Round,5,El Aynaoui Y.,Clement A.,29,54,3,6,6,3,6,4,3,6,10,8,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,4th Round,5,Sampras P.,Dosedel S.,3,64,6,1,6,2,3,6,6,1,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,4th Round,5,Kafelnikov Y.,Rochus C.,2,120,6,1,6,3,7,5,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,Quarterfinals,5,Norman M.,Kiefer N.,11,4,3,6,6,3,6,1,7,6,,,3,1,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,Quarterfinals,5,Kafelnikov Y.,El Aynaoui Y.,2,29,6,0,6,3,7,6,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,Quarterfinals,5,Agassi A.,Arazi H.,1,41,6,4,6,4,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,Quarterfinals,5,Sampras P.,Woodruff C.,3,56,7,5,6,3,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,Semifinals,5,Agassi A.,Sampras P.,1,3,6,4,3,6,6,7,7,6,6,1,3,2,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,Semifinals,5,Kafelnikov Y.,Norman M.,2,11,6,1,6,2,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,17/01/00,Grand Slam,Outdoor,Hard,The Final,5,Agassi A.,Kafelnikov Y.,1,2,3,6,6,3,6,2,6,4,,,3,1,Completed
