ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,4th Round,5,Gambill J.M.,Enqvist T.,56,8,7,6,3,6,6,3,6,4,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,4th Round,5,Philippoussis M.,Henman T.,18,14,6,1,5,7,6,7,6,3,6,4,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,4th Round,5,Popp A.,Rosset M.,114,33,6,1,6,4,3,6,4,6,6,1,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,4th Round,5,Rafter P.,Johansson T.,21,57,6,3,6,4,6,7,6,1,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,4th Round,5,Sampras P.,Bjorkman J.,3,78,6,3,6,2,7,5,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,4th Round,5,Voltchkov V.,Ferreira W.,237,37,6,3,6,4,7,6,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,Quarterfinals,5,Agassi A.,Philippoussis M.,1,18,7,6,6,3,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,Quarterfinals,5,Rafter P.,Popp A.,21,114,6,3,6,2,7,6,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,Quarterfinals,5,Sampras P.,Gambill J.M.,3,56,6,4,6,7,6,4,6,4,,,3,1,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,Quarterfinals,5,Voltchkov V.,Black B.,237,52,7,6,7,6,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,Semifinals,5,Rafter P.,Agassi A.,21,1,7,5,4,6,7,5,4,6,6,3,3,2,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,Semifinals,5,Sampras P.,Voltchkov V.,3,237,7,6,6,2,6,4,,,,,3,0,Completed
37,London,Wimbledon,26/06/00,Grand Slam,Outdoor,Grass,The Final,5,Sampras P.,Rafter P.,3,21,6,7,7,6,6,4,6,2,,,3,1,Completed
